,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
75,labase,5,1.0,0.10416666666666667,0.18867924528301885,1.0,0.2,0.020833333333333332,0.03773584905660377,1.0,1.0,0.10416666666666667,0.18867924528301885,1.0,1.0,0.10416666666666667,0.18867924528301885,1.0
76,all_mini,5,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
77,q_bv2,5,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
78,mpnet,5,1.0,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,1.0,0.4,0.4,0.4000000000000001,0.9197207891481876,1.0,1.0,1.0,1.0
79,labase,5,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
80,all_mini,5,0.4,0.2857142857142857,0.3333333333333333,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0,0.6,0.42857142857142855,0.5,1.0
81,q_bv2,5,0.4,0.2857142857142857,0.3333333333333333,0.8772153153380493,0.2,0.14285714285714285,0.16666666666666666,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0
82,mpnet,5,0.6,0.42857142857142855,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.6,0.42857142857142855,0.5,1.0
83,labase,5,0.2,0.14285714285714285,0.16666666666666666,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0,0.2,0.14285714285714285,0.16666666666666666,1.0
84,all_mini,5,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,0.9639404333166532
