,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
159,labase,20,0.05,0.1,0.06666666666666667,0.6988385132278441,0.0,0.0,0,0,0.05,0.1,0.06666666666666667,0.5210191995829317,0.05,0.1,0.06666666666666667,0.6988385132278441
160,all_mini,20,0.25,0.5,0.3333333333333333,0.9889639173419351,0.35,0.7,0.4666666666666667,0.9726182655864127,0.0,0.0,0,0.9627749006197401,0.35,0.7,0.4666666666666667,0.953383892357225
161,q_bv2,20,0.2,0.4,0.26666666666666666,0.9439992982361622,0.2,0.4,0.26666666666666666,0.8732012541164309,0.0,0.0,0,0,0.25,0.5,0.3333333333333333,0.9331571468728798
162,mpnet,20,0.2,0.4,0.26666666666666666,0.8189642934924867,0.0,0.0,0,0,0.0,0.0,0,0.519301112470348,0.2,0.4,0.26666666666666666,0.822736186700354
163,labase,20,0.2,0.4,0.26666666666666666,0.8755389176284295,0.1,0.2,0.13333333333333333,0.4074800898963971,0.2,0.4,0.26666666666666666,0.8219495408952658,0.25,0.5,0.3333333333333333,0.8583737575832352
164,all_mini,20,0.3,0.6666666666666666,0.41379310344827586,0.9343926429579678,0.3,0.6666666666666666,0.41379310344827586,0.8182372704345434,0.35,0.7777777777777778,0.48275862068965514,0.9069989392671549,0.3,0.6666666666666666,0.41379310344827586,0.9404074416410557
165,q_bv2,20,0.3,0.6666666666666666,0.41379310344827586,0.8919176443039236,0.15,0.3333333333333333,0.20689655172413793,0.7464896197336237,0.3,0.6666666666666666,0.41379310344827586,0.8850562036369382,0.1,0.2222222222222222,0.13793103448275865,0.9721630078228711
166,mpnet,20,0.1,0.2222222222222222,0.13793103448275865,0.9290221379128639,0.0,0.0,0,0.37169423500952875,0.1,0.2222222222222222,0.13793103448275865,0.9235362005726899,0.1,0.2222222222222222,0.13793103448275865,0.9230842283168971
167,labase,20,0.35,0.7777777777777778,0.48275862068965514,0.934365699235631,0.3,0.6666666666666666,0.41379310344827586,0.9529591648504153,0.3,0.6666666666666666,0.41379310344827586,0.9591038972230418,0.35,0.7777777777777778,0.48275862068965514,0.9554206342700033
168,all_mini,20,0.5,1.0,0.6666666666666666,0.9833284104629831,0.25,0.5,0.3333333333333333,0.8198931130800141,0.0,0.0,0,1.0,0.5,1.0,0.6666666666666666,0.9917529933431947
